N,P,K,temperature,humidity,ph,rainfall,label
109.34,50.62,47.02,23.52,76.5,6.79,106.02,Chilli
105.31,89.13,66.87,24.74,65.93,6.82,84.2,Tomato
19.48,56.53,42.34,32.22,51.76,6.55,66.61,Groundnut
41.33,22.84,34.67,31.98,59.5,6.41,34.57,Sesame
86.02,48.97,39.0,22.88,61.13,6.86,103.4,Chilli
23.23,63.57,28.98,24.61,69.83,6.55,110.51,Soybean
47.31,79.56,47.42,28.95,74.72,7.48,134.96,Cotton
40.0,28.38,39.18,29.93,37.25,7.95,27.71,Safflower
41.7,35.41,26.47,29.86,58.17,7.49,49.47,Safflower
16.89,71.52,27.66,22.03,42.65,6.62,50.14,Bengalgram
40.65,25.96,21.77,27.31,58.04,6.16,38.96,Sesame
30.05,28.75,24.29,27.01,44.86,7.13,62.35,Sesame
22.67,62.86,24.4,25.68,55.82,6.33,111.62,Soybean
44.43,62.86,38.91,23.04,77.52,6.38,99.83,Cotton
78.35,34.13,26.15,27.95,56.62,6.74,83.72,Sunflower
31.22,70.35,25.38,23.41,36.21,7.01,48.54,Bengalgram
70.82,56.82,77.59,22.22,64.84,6.74,67.37,Onion
25.39,45.94,118.78,31.03,72.13,6.76,159.46,Coconut
16.04,71.04,28.71,26.33,39.08,7.1,55.13,Bengalgram
66.68,32.52,87.14,29.89,78.29,6.46,196.57,Arecanut
69.63,34.76,39.09,29.4,42.25,6.82,57.14,Sunflower
110.19,89.17,70.14,23.3,78.77,6.49,88.16,Tomato
21.74,37.01,97.53,25.93,89.53,6.47,138.46,Coconut
99.25,85.23,84.18,22.8,77.89,7.23,1572.09,Sugarcane
17.68,47.47,90.08,26.71,93.94,6.9,185.59,Coconut
59.08,58.3,40.16,23.56,87.89,6.86,95.67,Cotton
86.36,63.33,49.69,26.01,65.21,7.13,79.27,Chilli
86.97,66.56,49.38,20.72,63.86,6.27,51.5,Wheat
114.33,48.35,54.18,31.49,62.41,7.35,118.04,Chilli
78.02,34.96,37.7,25.47,57.46,6.77,101.08,Maize
83.75,42.28,38.47,24.95,89.06,6.41,253.11,Rice
69.01,39.02,64.5,29.26,83.33,5.87,121.38,Turmeric
25.68,55.86,38.99,32.96,41.11,5.58,71.51,Groundnut
95.65,97.95,50.64,26.66,86.59,5.59,1319.22,Sugarcane
53.87,62.4,44.59,25.86,71.11,6.83,95.23,Cotton
69.31,40.95,76.46,25.06,94.51,5.62,194.2,Turmeric
55.47,50.29,27.17,25.51,65.18,6.24,57.69,Sunflower
78.46,50.95,58.57,23.97,56.03,6.93,88.34,Onion
47.71,29.79,37.91,35.0,49.42,6.98,31.31,Jowar
92.87,63.73,41.51,27.6,59.99,6.32,85.21,Chilli
104.19,76.09,84.72,25.17,83.94,6.6,58.43,Tomato
99.6,42.63,44.32,24.27,89.8,7.4,181.17,Rice
28.8,67.88,29.38,25.65,62.8,7.16,48.29,Bengalgram
27.65,58.97,31.81,28.81,68.83,5.62,58.39,Groundnut
67.41,53.46,58.22,27.81,74.61,6.51,73.79,Onion
37.67,68.33,29.69,29.44,71.79,6.69,126.89,Cotton
129.03,75.81,82.66,29.34,77.94,6.61,1864.02,Sugarcane
119.83,61.32,76.9,26.86,73.97,6.7,105.44,Tomato
39.26,38.83,31.7,27.93,59.61,6.55,40.7,Sesame
37.3,32.44,37.96,31.77,35.75,7.97,35.98,Jowar
16.91,56.47,23.66,21.88,62.25,8.0,67.57,Bengalgram
112.74,60.33,67.83,21.15,60.63,6.65,103.37,Tomato
31.54,20.21,33.93,29.97,48.57,7.33,74.56,Ragi
37.38,22.84,39.72,28.52,46.15,6.31,28.47,Millet
35.88,28.26,26.36,33.52,44.46,6.5,46.3,Millet
15.61,45.24,81.21,27.26,88.94,6.71,158.58,Coconut
